package,filename,version,is_wheel,has_attestation,provenance_url
a2a-sdk,a2a_sdk-1.1.0-0-py3-none-any.whl,1.1.0,Yes,Yes,https://packages.redhat.com/api/pypi/public-trusted-libraries/main/integrity/a2a-sdk/1.1.0/a2a_sdk-1.1.0-0-py3-none-any.whl/provenance/
a2a-sdk,a2a-sdk-1.1.0.tar.gz,1.1.0,No,Yes,https://packages.redhat.com/api/pypi/public-trusted-libraries/main/integrity/a2a-sdk/1.1.0/a2a-sdk-1.1.0.tar.gz/provenance/
a2wsgi,a2wsgi-1.10.10-0-py3-none-any.whl,1.10.10,Yes,Yes,https://packages.redhat.com/api/pypi/public-trusted-libraries/main/integrity/a2wsgi/1.10.10/a2wsgi-1.10.10-0-py3-none-any.whl/provenance/
a2wsgi,a2wsgi-1.10.10.tar.gz,1.10.10,No,Yes,https://packages.redhat.com/api/pypi/public-trusted-libraries/main/integrity/a2wsgi/1.10.10/a2wsgi-1.10.10.tar.gz/provenance/
abnf,abnf-2.5.1-0-py3-none-any.whl,2.5.1,Yes,Yes,https://packages.redhat.com/api/pypi/public-trusted-libraries/main/integrity/abnf/2.5.1/abnf-2.5.1-0-py3-none-any.whl/provenance/
abnf,abnf-2.5.1.tar.gz,2.5.1,No,Yes,https://packages.redhat.com/api/pypi/public-trusted-libraries/main/integrity/abnf/2.5.1/abnf-2.5.1.tar.gz/provenance/
abnf,abnf-2.2.0-0-py3-none-any.whl,2.2.0,Yes,Yes,https://packages.redhat.com/api/pypi/public-trusted-libraries/main/integrity/abnf/2.2.0/abnf-2.2.0-0-py3-none-any.whl/provenance/
abnf,abnf-2.2.0.tar.gz,2.2.0,No,Yes,https://packages.redhat.com/api/pypi/public-trusted-libraries/main/integrity/abnf/2.2.0/abnf-2.2.0.tar.gz/provenance/
absl-py,absl_py-2.4.0-0-py3-none-any.whl,2.4.0,Yes,No,
absl-py,absl-py-2.4.0.tar.gz,2.4.0,No,No,
absl-py,absl_py-2.5.0-0-py3-none-any.whl,2.5.0,Yes,Yes,https://packages.redhat.com/api/pypi/public-trusted-libraries/main/integrity/absl-py/2.5.0/absl_py-2.5.0-0-py3-none-any.whl/provenance/
absl-py,absl-py-2.5.0.tar.gz,2.5.0,No,Yes,https://packages.redhat.com/api/pypi/public-trusted-libraries/main/integrity/absl-py/2.5.0/absl-py-2.5.0.tar.gz/provenance/
absolufy-imports,absolufy_imports-0.3.1-0-py2.py3-none-any.whl,0.3.1,Yes,Yes,https://packages.redhat.com/api/pypi/public-trusted-libraries/main/integrity/absolufy-imports/0.3.1/absolufy_imports-0.3.1-0-py2.py3-none-any.whl/provenance/
absolufy-imports,absolufy-imports-0.3.1.tar.gz,0.3.1,No,Yes,https://packages.redhat.com/api/pypi/public-trusted-libraries/main/integrity/absolufy-imports/0.3.1/absolufy-imports-0.3.1.tar.gz/provenance/
