package,wheel,has_sbom,sbom_count,sbom_files,sbom_valid,sbom_hash_mismatch,sbom_missing_from_wheel,sbom_missing_from_record,status,error
aiobotocore,aiobotocore-3.1.3-0-py3-none-any.whl,Yes,1,aiobotocore-3.1.3.dist-info/aiobotocore-3.1.3-0.spdx.json,1,0,,,OK,
aiobotocore,aiobotocore-3.2.0-0-py3-none-any.whl,Yes,1,aiobotocore-3.2.0.dist-info/aiobotocore-3.2.0-0.spdx.json,1,0,,,OK,
aiofiles,aiofiles-25.1.0-0-py3-none-any.whl,Yes,1,aiofiles-25.1.0.dist-info/aiofiles-25.1.0-0.spdx.json,1,0,,,OK,
aiohappyeyeballs,aiohappyeyeballs-2.6.1-0-py3-none-any.whl,Yes,1,aiohappyeyeballs-2.6.1.dist-info/aiohappyeyeballs-2.6.1-0.spdx.json,1,0,,,OK,
aiohttp,aiohttp-3.13.3-0-cp312-cp312-manylinux2014_x86_64.manylinux_2_17_x86_64.manylinux_2_28_x86_64.whl,Yes,1,aiohttp-3.13.3.dist-info/aiohttp-3.13.3-0.spdx.json,1,0,,,OK,
aioitertools,aioitertools-0.13.0-0-py3-none-any.whl,Yes,1,aioitertools-0.13.0.dist-info/aioitertools-0.13.0-0.spdx.json,1,0,,,OK,
aiosignal,aiosignal-1.4.0-0-py3-none-any.whl,Yes,1,aiosignal-1.4.0.dist-info/aiosignal-1.4.0-0.spdx.json,1,0,,,OK,
alembic,alembic-1.18.4-0-py3-none-any.whl,Yes,1,alembic-1.18.4.dist-info/alembic-1.18.4-0.spdx.json,1,0,,,OK,
amqp,amqp-5.3.1-0-py3-none-any.whl,Yes,1,amqp-5.3.1.dist-info/amqp-5.3.1-0.spdx.json,1,0,,,OK,
anchore-syft,anchore_syft-1.18.1-0-py2.py3-none-manylinux1_x86_64.manylinux_2_28_x86_64.manylinux_2_5_x86_64.whl,Yes,1,anchore_syft-1.18.1.dist-info/anchore_syft-1.18.1-0.spdx.json,1,0,,,OK,
annotated-doc,annotated_doc-0.0.4-0-py3-none-any.whl,Yes,1,annotated_doc-0.0.4.dist-info/annotated_doc-0.0.4-0.spdx.json,1,0,,,OK,
annotated-types,annotated_types-0.7.0-0-py3-none-any.whl,Yes,1,annotated_types-0.7.0.dist-info/annotated_types-0.7.0-0.spdx.json,1,0,,,OK,
anyio,anyio-4.12.1-0-py3-none-any.whl,Yes,1,anyio-4.12.1.dist-info/anyio-4.12.1-0.spdx.json,1,0,,,OK,
apispec,apispec-6.9.0-0-py3-none-any.whl,Yes,1,apispec-6.9.0.dist-info/apispec-6.9.0-0.spdx.json,1,0,,,OK,
appdirs,appdirs-1.4.4-0-py2.py3-none-any.whl,Yes,1,appdirs-1.4.4.dist-info/appdirs-1.4.4-0.spdx.json,1,0,,,OK,
apscheduler,apscheduler-3.11.2-0-py3-none-any.whl,Yes,1,apscheduler-3.11.2.dist-info/apscheduler-3.11.2-0.spdx.json,1,0,,,OK,
argcomplete,argcomplete-3.6.3-0-py3-none-any.whl,Yes,1,argcomplete-3.6.3.dist-info/argcomplete-3.6.3-0.spdx.json,1,0,,,OK,
arrow,arrow-1.4.0-0-py3-none-any.whl,Yes,1,arrow-1.4.0.dist-info/arrow-1.4.0-0.spdx.json,1,0,,,OK,
asgiref,asgiref-3.11.1-0-py3-none-any.whl,Yes,1,asgiref-3.11.1.dist-info/asgiref-3.11.1-0.spdx.json,1,0,,,OK,
asttokens,asttokens-3.0.1-0-py3-none-any.whl,Yes,1,asttokens-3.0.1.dist-info/asttokens-3.0.1-0.spdx.json,1,0,,,OK,
async-lru,async_lru-2.1.0-0-py3-none-any.whl,Yes,1,async_lru-2.1.0.dist-info/async_lru-2.1.0-0.spdx.json,1,0,,,OK,
async-timeout,async_timeout-5.0.1-0-py3-none-any.whl,Yes,1,async_timeout-5.0.1.dist-info/async_timeout-5.0.1-0.spdx.json,1,0,,,OK,
attrs,attrs-25.4.0-0-py3-none-any.whl,Yes,1,attrs-25.4.0.dist-info/attrs-25.4.0-0.spdx.json,1,0,,,OK,
awscli,awscli-1.44.35-0-py3-none-any.whl,Yes,1,awscli-1.44.35.dist-info/awscli-1.44.35-0.spdx.json,1,0,,,OK,
azure-common,azure_common-1.1.28-0-py2.py3-none-any.whl,Yes,1,azure_common-1.1.28.dist-info/azure_common-1.1.28-0.spdx.json,1,0,,,OK,
babel,babel-2.18.0-0-py3-none-any.whl,Yes,1,babel-2.18.0.dist-info/babel-2.18.0-0.spdx.json,1,0,,,OK,
backoff,backoff-2.2.1-0-py3-none-any.whl,Yes,1,backoff-2.2.1.dist-info/backoff-2.2.1-0.spdx.json,1,0,,,OK,
bandit,bandit-1.9.3-0-py3-none-any.whl,Yes,1,bandit-1.9.3.dist-info/bandit-1.9.3-0.spdx.json,1,0,,,OK,
bidict,bidict-0.23.1-0-py3-none-any.whl,Yes,1,bidict-0.23.1.dist-info/bidict-0.23.1-0.spdx.json,1,0,,,OK,
billiard,billiard-4.2.4-0-py3-none-any.whl,Yes,1,billiard-4.2.4.dist-info/billiard-4.2.4-0.spdx.json,1,0,,,OK,
bleach,bleach-6.3.0-0-py3-none-any.whl,Yes,1,bleach-6.3.0.dist-info/bleach-6.3.0-0.spdx.json,0,0,,bleach-6.3.0.dist-info/bleach-6.3.0-0.spdx.json,OK,
blinker,blinker-1.9.0-0-py3-none-any.whl,Yes,1,blinker-1.9.0.dist-info/blinker-1.9.0-0.spdx.json,1,0,,,OK,
boltons,boltons-25.0.0-0-py3-none-any.whl,Yes,1,boltons-25.0.0.dist-info/boltons-25.0.0-0.spdx.json,1,0,,,OK,
boto3,boto3-1.42.49-0-py3-none-any.whl,Yes,1,boto3-1.42.49.dist-info/boto3-1.42.49-0.spdx.json,1,0,,,OK,
botocore,botocore-1.42.49-0-py3-none-any.whl,Yes,1,botocore-1.42.49.dist-info/botocore-1.42.49-0.spdx.json,1,0,,,OK,
botocore,botocore-1.42.51-0-py3-none-any.whl,Yes,1,botocore-1.42.51.dist-info/botocore-1.42.51-0.spdx.json,1,0,,,OK,
botocore,botocore-1.42.55-0-py3-none-any.whl,Yes,1,botocore-1.42.55.dist-info/botocore-1.42.55-0.spdx.json,1,0,,,OK,
botocore,botocore-1.42.45-0-py3-none-any.whl,Yes,1,botocore-1.42.45.dist-info/botocore-1.42.45-0.spdx.json,1,0,,,OK,
botocore,botocore-1.42.43-0-py3-none-any.whl,Yes,1,botocore-1.42.43.dist-info/botocore-1.42.43-0.spdx.json,1,0,,,OK,
build,build-1.4.0-0-py3-none-any.whl,Yes,1,build-1.4.0.dist-info/build-1.4.0-0.spdx.json,1,0,,,OK,
cachetools,cachetools-7.0.1-0-py3-none-any.whl,Yes,1,cachetools-7.0.1.dist-info/cachetools-7.0.1-0.spdx.json,1,0,,,OK,
calver,calver-2025.10.20-0-py3-none-any.whl,Yes,1,calver-2025.10.20.dist-info/calver-2025.10.20-0.spdx.json,1,0,,,OK,
cattrs,cattrs-26.1.0-0-py3-none-any.whl,Yes,1,cattrs-26.1.0.dist-info/cattrs-26.1.0-0.spdx.json,1,0,,,OK,
